"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"none",TRUE,TRUE,TRUE,1,1,0.047815,0.021695,0.073002,0.676727
"lemmatization",TRUE,TRUE,TRUE,1,1,0.06516,0.030513,0.09431,0.55585
"stemming",TRUE,TRUE,TRUE,1,1,0.078864,0.051968,0.103123,0.651396
"none",FALSE,TRUE,TRUE,1,1,0.052697,0.025397,0.078935,0.734152
"lemmatization",FALSE,TRUE,TRUE,1,1,0.044124,0.020354,0.06603,0.735483
"stemming",FALSE,TRUE,TRUE,1,1,0.047569,0.029483,0.069401,0.757644
"none",TRUE,FALSE,TRUE,1,1,0.046868,0.02773,0.067692,0.745775
"lemmatization",TRUE,FALSE,TRUE,1,1,0.044225,0.02586,0.067276,0.735059
"stemming",TRUE,FALSE,TRUE,1,1,0.042812,0.023859,0.067081,0.747472
"none",FALSE,FALSE,TRUE,1,1,0.044464,0.026302,0.065954,0.725635
"lemmatization",FALSE,FALSE,TRUE,1,1,0.043983,0.02644,0.063066,0.703399
"stemming",FALSE,FALSE,TRUE,1,1,0.040549,0.023988,0.062331,0.726563
"none",TRUE,TRUE,FALSE,1,1,0.017993,0.012466,0.023435,0.679064
"lemmatization",TRUE,TRUE,FALSE,1,1,0.000377,-0.006978,0.007623,0.628247
"stemming",TRUE,TRUE,FALSE,1,1,0.01747,0.010502,0.02351,1
"none",FALSE,TRUE,FALSE,1,1,0.023325,0.013442,0.03313,0.763367
"lemmatization",FALSE,TRUE,FALSE,1,1,0.024059,0.014878,0.03314,0.750625
"stemming",FALSE,TRUE,FALSE,1,1,0.020201,0.010633,0.030678,0.780205
"none",TRUE,FALSE,FALSE,1,1,0.011374,0.002945,0.020048,0.371283
"lemmatization",TRUE,FALSE,FALSE,1,1,0.017318,0.009124,0.024863,0.685084
"stemming",TRUE,FALSE,FALSE,1,1,0.041698,0.033034,0.050859,0.705984
"none",FALSE,FALSE,FALSE,1,1,0.017963,0.007175,0.028449,0.73735
"lemmatization",FALSE,FALSE,FALSE,1,1,0.020315,0.012548,0.028033,0.702576
"stemming",FALSE,FALSE,FALSE,1,1,0.024922,0.015027,0.035048,0.767086
"none",TRUE,TRUE,TRUE,2,1,0.031962,0.002647,0.060098,0.730551
"lemmatization",TRUE,TRUE,TRUE,2,1,0.041012,0.013663,0.063764,0.736094
"stemming",TRUE,TRUE,TRUE,2,1,0.04523,0.023992,0.069574,0.77026
"none",FALSE,TRUE,TRUE,2,1,0.028848,-0.002795,0.060895,0.65872
"lemmatization",FALSE,TRUE,TRUE,2,1,0.075277,0.046931,0.099638,0.532385
"stemming",FALSE,TRUE,TRUE,2,1,0.050201,0.024196,0.072254,0.723855
